Open Time,Open,High,Low,Close,Volume,Taker Buy Base Volume,Taker Buy Quote Volume
2023-10-24,33069.99,35280.0,32832.34,33922.73,115265.02418,57409.31981,1959449469.4657931
2023-10-25,33922.73,35132.85,33679.05,34496.05,54887.02529,26150.50377,900236395.3726264
2023-10-26,34496.05,34824.13,33751.0,34151.66,39744.66255,18528.43061,635547858.4928182
2023-10-27,34151.66,34245.0,33390.95,33892.02,32330.40106,14310.32429,485405697.9244014
2023-10-28,33892.01,34493.33,33860.0,34081.0,16880.13144,8313.30759,283656619.5863619
2023-10-29,34081.01,34750.11,33930.0,34525.89,20685.52176,10053.96096,345933681.7968467
2023-10-30,34525.88,34856.0,34062.84,34474.73,33657.95976,15237.56781,525162190.5371194
2023-10-31,34474.74,34720.49,34025.0,34639.77,32737.89822,15843.795,544722903.4968481
2023-11-01,34639.78,35582.0,34097.39,35421.43,53473.28165,25779.0029,895387891.4676665
2023-11-02,35421.43,35984.99,34300.0,34941.59,48015.57732,23303.3535,818365718.9549311
2023-11-03,34941.58,34946.5,34120.0,34716.78,39071.20644,19168.85669,661176167.7749346
2023-11-04,34716.78,35255.0,34585.18,35062.07,18377.55545,9229.16649,321479754.9172934
2023-11-05,35062.06,35380.0,34448.0,35011.88,24528.73376,11870.33193,415912075.9000027
2023-11-06,35011.89,35276.33,34725.9,35046.09,22346.47086,10770.27727,377126281.1530906
2023-11-07,35046.09,35888.0,34523.06,35399.12,38688.73692,19375.26868,680382009.6599416
2023-11-08,35399.13,36106.0,35100.0,35624.72,33401.34137,17192.8245,610314635.3798897
2023-11-09,35624.72,37972.24,35534.05,36701.09,82537.88885,42156.81236,1550254981.0451877
2023-11-10,36701.1,37526.0,36324.71,37301.63,43414.04898,21388.56879,790671818.768367
2023-11-11,37301.63,37408.26,36666.93,37130.0,22984.97235,10728.65792,397673179.6679197
2023-11-12,37129.99,37222.22,36731.1,37064.13,17687.18874,8506.46051,315285367.544748
2023-11-13,37064.13,37417.99,36333.0,36462.93,32798.18252,15442.44512,568916594.9113173
2023-11-14,36462.93,36744.0,34800.0,35551.19,45503.68416,21205.18615,763841642.880878
2023-11-15,35551.2,37980.0,35360.0,37858.2,53569.13385,28142.1424,1031669501.9934208
2023-11-16,37858.2,37929.54,35500.0,36163.51,47490.39566,22214.04928,815932555.1331269
2023-11-17,36163.51,36800.0,35861.1,36613.92,38283.61112,18403.36411,668865883.1417465
2023-11-18,36613.91,36845.49,36178.58,36568.1,17102.24186,8101.54756,295795105.4300323
2023-11-19,36568.11,37500.0,36384.02,37359.86,21246.34648,10575.25293,389089868.806342
2023-11-20,37359.85,37750.0,36677.0,37448.78,36022.70291,17591.22652,656245983.7397183
2023-11-21,37448.79,37649.44,35735.0,35741.65,47646.54804,22371.42068,824920009.55786
2023-11-22,35741.65,37861.1,35632.01,37408.34,45051.30697,23046.71174,847145468.3259536
2023-11-23,37408.35,37653.44,36870.0,37294.28,23827.92882,11086.35132,413539343.9448205
2023-11-24,37294.27,38414.0,37251.51,37713.57,44680.80646,22349.17236,844803081.6321824
2023-11-25,37713.57,37888.0,37591.1,37780.67,11396.14464,5153.91116,194536221.2850941
2023-11-26,37780.67,37814.63,37150.0,37447.43,21264.53723,10204.51641,382571274.0460782
2023-11-27,37447.42,37569.23,36707.0,37242.7,30001.07376,14458.63822,536129095.5668442
2023-11-28,37242.7,38377.0,36868.41,37818.87,37544.46667,18168.56198,684514270.9388717
2023-11-29,37818.88,38450.0,37570.0,37854.64,32994.19107,15588.96473,591917955.4743968
2023-11-30,37854.65,38145.85,37500.0,37723.96,24740.29147,11484.45424,433772722.5045634
2023-12-01,37723.97,38999.0,37615.86,38682.52,43415.66324,22408.27301,861977420.1631953
2023-12-02,38682.51,39717.14,38641.61,39450.35,26696.92161,13166.65386,514763687.5746009
2023-12-03,39450.35,40250.0,39274.86,39972.26,26710.65335,13333.29632,529259227.1675092
2023-12-04,39972.26,42420.0,39972.26,41991.1,79272.33059,38595.61905,1599710862.0871768
